"Grupo";"Norma";"Título";"Publicación";"Organismo";"idNorma";"idParte";"Url"
"Laborales y/o Económicas";"Decreto 611";"OTORGA FACULTADES EN MATERIAS DE ÍNDOLE TRIBUTARIA A LOS ORGANISMOS QUE INDICA  PARA APOYAR A LAS FAMILIAS Y A LAS MICRO  PEQUEÑAS Y MEDIANAS EMPRESAS";"24-ABR-2021";"MINISTERIO DE HACIENDA";"1158745";"0";"https://www.leychile.cl/Navegar?idNorma=1158745&idParte=0"
"Laborales y/o Económicas";"Decreto 43";"APRUEBA REGLAMENTO DEL FONDO DE EMERGENCIA TRANSITORIO COVID-19  CREADO POR LA LEY Nº 21.288";"23-ABR-2021";"MINISTERIO DE HACIENDA";"1158706";"0";"https://www.leychile.cl/Navegar?idNorma=1158706&idParte=0"
"Laborales y/o Económicas";"Decreto 127 EXENTO";"MODIFICA DECRETO Nº 32 EXENTO  DE 4 DE FEBRERO DE 2021  DEL MINISTERIO DE HACIENDA  QUE APRUEBA REGLAMENTO DE ADMINISTRACIÓN DEL FONDO DE GARANTÍA PARA PEQUEÑOS Y MEDIANOS EMPRESARIOS APLICABLE A LAS GARANTÍAS DE REACTIVACIÓN Y MODIFICA DECRETO Nº 130 EXENTO  DE 24 DE ABRIL DE 2020  DEL MINISTERIO DE HACIENDA  QUE APRUEBA REGLAMENTO DE ADMINISTRACIÓN DEL FONDO DE GARANTÍA PARA PEQUEÑOS Y MEDIANOS EMPRESARIOS APLICABLE A LAS LÍNEAS DE GARANTÍA COVID-19";"23-ABR-2021";"MINISTERIO DE HACIENDA";"1158707";"0";"https://www.leychile.cl/Navegar?idNorma=1158707&idParte=0"
"Laborales y/o Económicas";"Decreto 130 EXENTO";"MODIFICA DECRETO Nº 284 EXENTO  DE 2020  DEL MINISTERIO DE HACIENDA  QUE REGULA REQUISITOS  PROCEDIMIENTO  CUOTAS Y PLAZOS PARA ACCEDER AL BONO DE APOYO Y PRÉSTAMO ESTATAL SOLIDARIO ESTABLECIDO EN FAVOR DE LOS MICROEMPRESARIOS Y CONDUCTORES DEL TRANSPORTE REMUNERADO DE PASAJEROS SEGÚN LO ESTABLECIDO EN EL ARTÍCULO 6º DE LA LEY Nº 21.256 Y REGULA LOS REQUISITOS  PROCEDIMIENTO  CUOTAS Y PLAZOS DE UN BONO ADICIONAL A LOS CONDUCTORES INSCRITOS POR PROPIETARIOS QUE CUENTEN CON LICENCIA PROF...";"19-ABR-2021";"MINISTERIO DE HACIENDA";"1158502";"0";"https://www.leychile.cl/Navegar?idNorma=1158502&idParte=0"
"Laborales y/o Económicas";"Decreto 359 EXENTO";"EXIME DEL DERECHO DE ASEO A ADULTOS MAYORES Y A PERSONAS DISCAPACITADAS";"19-ABR-2021";"MUNICIPALIDAD DE LA CRUZ";"1158511";"0";"https://www.leychile.cl/Navegar?idNorma=1158511&idParte=0"
"Laborales y/o Económicas";"Decreto 12";"MODIFICA DECRETO Nº 28  DE 2011  QUE ESTABLECE COMPONENTES  LÍNEAS DE ACCIÓN  PROCEDIMIENTOS  MODALIDADES Y MECANISMOS DE CONTROL DEL PROGRAMA DE FORMACIÓN EN EL PUESTO DE TRABAJO";"01-ABR-2021";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL,  SUBSECRETARÍA DEL TRABAJO";"1157652";"0";"https://www.leychile.cl/Navegar?idNorma=1157652&idParte=0"
"Laborales y/o Económicas";"Decreto 279";"EXTIENDE LA VIGENCIA DE LOS BENEFICIOS Y LAS PRESTACIONES QUE INDICA Y OTORGA DERECHO A GIROS ADICIONALES CON CARGO AL FONDO DE CESANTÍA SOLIDARIO Y EXTIENDE VIGENCIA DEL TÍTULO II DE LA LEY Nº 21.227  CONFORME A LO DISPUESTO EN EL ARTÍCULO 16 DE LA LEY Nº 21.263  QUE FLEXIBILIZA TRANSITORIAMENTE LOS REQUISITOS DE ACCESO E INCREMENTA EL MONTO DE LAS PRESTACIONES DEL SEGURO DE DESEMPLEO DE LA LEY Nº 19.728  CON MOTIVO DE LA PANDEMIA ORIGINADA POR EL COVID-19  Y PERFECCIONA LOS BENEFICIO...";"06-MAR-2021";"MINISTERIO DE HACIENDA";"1156684";"0";"https://www.leychile.cl/Navegar?idNorma=1156684&idParte=0"
"Laborales y/o Económicas";"Decreto 45 EXENTO";"MODIFICA DECRETO Nº 628 EXENTO  DE 31 DE DICIEMBRE DE 2020  DEL MINISTERIO DE HACIENDA  EN LA FORMA QUE INDICA";"26-FEB-2021";"MINISTERIO DE HACIENDA";"1156324";"0";"https://www.leychile.cl/Navegar?idNorma=1156324&idParte=0"
"Laborales y/o Económicas";"Decreto 7";"MODIFICA DECRETO Nº 28  DE 2011  QUE ESTABLECE COMPONENTES  LÍNEAS DE ACCIÓN  PROCEDIMIENTOS  MODALIDADES Y MECANISMOS DE CONTROL DEL PROGRAMA DE FORMACIÓN EN EL PUESTO DE TRABAJO";"15-FEB-2021";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL,  SUBSECRETARÍA DEL TRABAJO";"1155907";"0";"https://www.leychile.cl/Navegar?idNorma=1155907&idParte=0"
"Laborales y/o Económicas";"Decreto 35 EXENTO";"MODIFICA EL DECRETO N° 628 EXENTO  DE 2020  DEL MINISTERIO DE HACIENDA  EN LA FORMA QUE INDICA";"13-FEB-2021";"MINISTERIO DE HACIENDA";"1155888";"0";"https://www.leychile.cl/Navegar?idNorma=1155888&idParte=0"
"Laborales y/o Económicas";"Decreto 8";"APRUEBA REGLAMENTO DE LA LEY QUE PERMITE LA POSTERGACIÓN DE CUOTAS DE CRÉDITOS HIPOTECARIOS Y CREA LA GARANTÍA ESTATAL PARA CAUCIONAR CUOTAS POSTERGADAS";"06-FEB-2021";"MINISTERIO DE HACIENDA";"1155645";"0";"https://www.leychile.cl/Navegar?idNorma=1155645&idParte=0"
"Laborales y/o Económicas";"Decreto 32 EXENTO";"APRUEBA REGLAMENTO DE ADMINISTRACIÓN DEL FONDO DE GARANTÍA PARA PEQUEÑOS Y MEDIANOS EMPRESARIOS APLICABLE A LAS GARANTÍAS DE REACTIVACIÓN Y MODIFICA DECRETO Nº 130 EXENTO  DE 24 DE ABRIL DE 2020  DEL MINISTERIO DE HACIENDA  QUE APRUEBA REGLAMENTO DE ADMINISTRACIÓN DEL FONDO DE GARANTÍA PARA PEQUEÑOS Y MEDIANOS EMPRESARIOS APLICABLE A LAS LÍNEAS DE GARANTÍA COVID-19";"05-FEB-2021";"MINISTERIO DE HACIENDA";"1155587";"0";"https://www.leychile.cl/Navegar?idNorma=1155587&idParte=0"
"Laborales y/o Económicas";"Decreto 18 EXENTO";"MODIFICA DECRETO Nº 628 EXENTO  DE 31 DE DICIEMBRE DE 2020  DEL MINISTERIO DE HACIENDA  EN LA FORMA QUE INDICA";"29-ENE-2021";"MINISTERIO DE HACIENDA";"1155144";"0";"https://www.leychile.cl/Navegar?idNorma=1155144&idParte=0"
"Laborales y/o Económicas";"Decreto 628 EXENTO";"CONCEDE LOS APORTES QUE INDICA Y DETERMINA PARÁMETROS PARA ENTREGAR BONIFICACIÓN Y DEMÁS MATERIAS QUE SEÑALA  DE ACUERDO A LA PARTIDA 50  CAPÍTULO 01  PROGRAMA 03 "OPERACIONES COMPLEMENTARIAS"  SUBTÍTULO 30  ÍTEM 10 "FONDO EMERGENCIA TRANSITORIO"  DE LA GLOSA 26  NUMERAL 3  LITERAL A  DE LA LEY Nº 21.289  DE PRESUPUESTOS DEL SECTOR PÚBLICO CORRESPONDIENTE AL AÑO 2021";"08-ENE-2021";"MINISTERIO DE HACIENDA";"1154366";"0";"https://www.leychile.cl/Navegar?idNorma=1154366&idParte=0"
"Laborales y/o Económicas";"Decreto 2097";"EXTIENDE LA VIGENCIA DE LOS BENEFICIOS Y LAS PRESTACIONES QUE INDICA Y OTORGA DERECHO A GIROS ADICIONALES CON CARGO AL FONDO DE CESANTÍA SOLIDARIO Y EXTIENDE VIGENCIA DEL TÍTULO II DE LA LEY Nº 21.227  CONFORME A LO DISPUESTO EN EL ARTÍCULO 16 DE LA LEY Nº 21.263  QUE FLEXIBILIZA TRANSITORIAMENTE LOS REQUISITOS DE ACCESO E INCREMENTA EL MONTO DE LAS PRESTACIONES DEL SEGURO DE DESEMPLEO DE LA LEY Nº 19.728  CON MOTIVO DE LA PANDEMIA ORIGINADA POR EL COVID-19  Y PERFECCIONA LOS BENEFICIO...";"04-DIC-2020";"MINISTERIO DE HACIENDA";"1152929";"0";"https://www.leychile.cl/Navegar?idNorma=1152929&idParte=0"
"Laborales y/o Económicas";"Decreto 43";"MODIFICA DECRETO Nº 28  DE 2011  QUE ESTABLECE COMPONENTES  LÍNEAS DE ACCIÓN  PROCEDIMIENTOS  MODALIDADES Y MECANISMOS DE CONTROL DEL PROGRAMA DE FORMACIÓN EN EL PUESTO DE TRABAJO";"18-NOV-2020";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL,  SUBSECRETARÍA DEL TRABAJO";"1151832";"0";"https://www.leychile.cl/Navegar?idNorma=1151832&idParte=0"
"Laborales y/o Económicas";"Decreto 1697";"MODIFICA DECRETO SUPREMO Nº 507  DE 3 DE ABRIL DE 2020  DEL MINISTERIO DE HACIENDA Y SUS MODIFICACIONES POSTERIORES";"13-NOV-2020";"MINISTERIO DE HACIENDA";"1151572";"0";"https://www.leychile.cl/Navegar?idNorma=1151572&idParte=0"
"Laborales y/o Económicas";"Decreto 1616";"MODIFICA DECRETO SUPREMO Nº 507  DE 3 DE ABRIL DE 2020  MODIFICADO POR EL DECRETO SUPREMO Nº 1.428  DE 9 DE SEPTIEMBRE DE 2020  AMBOS DEL MINISTERIO DE HACIENDA";"26-OCT-2020";"MINISTERIO DE HACIENDA";"1150921";"0";"https://www.leychile.cl/Navegar?idNorma=1150921&idParte=0"
"Laborales y/o Económicas";"Decreto 1428";"MODIFICA DECRETO SUPREMO Nº 507  DE 3 DE ABRIL DE 2020  DEL MINISTERIO DE HACIENDA";"19-OCT-2020";"MINISTERIO DE HACIENDA";"1150718";"0";"https://www.leychile.cl/Navegar?idNorma=1150718&idParte=0"
"Laborales y/o Económicas";"Decreto 1578";"EXTIENDE LA VIGENCIA DE LOS BENEFICIOS Y LAS PRESTACIONES QUE INDICA Y OTORGA DERECHO A GIROS ADICIONALES CON CARGO AL FONDO DE CESANTÍA SOLIDARIO  CONFORME A LO DISPUESTO EN EL ARTÍCULO 16 DE LA LEY Nº 21.263  QUE FLEXIBILIZA TRANSITORIAMENTE LOS REQUISITOS DE ACCESO E INCREMENTA EL MONTO DE LAS PRESTACIONES AL SEGURO DE DESEMPLEO DE LA LEY Nº 19.728  CON MOTIVO DE LA PANDEMIA ORIGINADA POR EL COVID-19  Y PERFECCIONA LOS BENEFICIOS DE LA LEY Nº 21.227";"05-OCT-2020";"MINISTERIO DE HACIENDA";"1150335";"0";"https://www.leychile.cl/Navegar?idNorma=1150335&idParte=0"
"Laborales y/o Económicas";"Decreto 31";"MODIFICA DECRETO Nº 28  DE 2011  QUE ESTABLECE COMPONENTES  LÍNEAS DE ACCIÓN  PROCEDIMIENTOS  MODALIDADES Y MECANISMOS DE CONTROL DEL PROGRAMA DE FORMACIÓN EN EL PUESTO DE TRABAJO";"28-SEP-2020";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL,  SUBSECRETARÍA DEL TRABAJO";"1149839";"0";"https://www.leychile.cl/Navegar?idNorma=1149839&idParte=0"
"Laborales y/o Económicas";"Decreto 297 EXENTO";"EXTIENDE EL INGRESO FAMILIAR DE EMERGENCIA A UN QUINTO Y SEXTO APORTE  DE ACUERDO A LO SEÑALADO EN EL ARTÍCULO 5 BIS DE LA LEY Nº 21.230  QUE LO CONCEDE";"26-SEP-2020";"MINISTERIO DE HACIENDA";"1149825";"0";"https://www.leychile.cl/Navegar?idNorma=1149825&idParte=0"
"Laborales y/o Económicas";"Decreto 1434";"ESTABLECE PARÁMETROS QUE SE INDICAN  OTORGA Y MEJORA PRESTACIONES DE LAS LEYES QUE SEÑALA  CONFORME A LO DISPUESTO EN LOS ARTÍCULOS 4° Y 7° DE LA LEY Nº21.263  QUE FLEXIBILIZA TRANSITORIAMENTE LOS REQUISITOS DE ACCESO E INCREMENTA EL MONTO DE LAS PRESTACIONES DEL SEGURO DE DESEMPLEO DE LA LEY Nº19.728  Y PERFECCIONA LOS BENEFICIOS DE LA LEY Nº21.227";"25-SEP-2020";"MINISTERIO DE HACIENDA";"1149794";"0";"https://www.leychile.cl/Navegar?idNorma=1149794&idParte=0"
"Laborales y/o Económicas";"Decreto 1246";"ESTABLECE MECANISMO PARA IMPLEMENTAR EL DECRETO SUPREMO Nº 333  DE 19 DE MARZO DE 2020  DEL MINISTERIO DE HACIENDA  QUE AUTORIZA DISPONER DEL 2% CONSTITUCIONAL  PARA ATENDER LOS GASTOS NECESARIOS DERIVADOS DE LA EPIDEMIA DEL CORONAVIRUS  "COVID-19"";"12-SEP-2020";"MINISTERIO DE HACIENDA";"1149385";"0";"https://www.leychile.cl/Navegar?idNorma=1149385&idParte=0"
"Laborales y/o Económicas";"Decreto 284 EXENTO";"REGULA REQUISITOS  PROCEDIMIENTO  CUOTAS Y PLAZOS PARA ACCEDER AL BONO DE APOYO Y PRÉSTAMO ESTATAL SOLIDARIO ESTABLECIDO EN FAVOR DE LOS MICROEMPRESARIOS Y CONDUCTORES DEL TRANSPORTE REMUNERADO DE PASAJEROS SEGÚN LO ESTABLECIDO EN EL ARTÍCULO 6° DE LA LEY Nº 21.256";"12-SEP-2020";"MINISTERIO DE HACIENDA";"1149386";"0";"https://www.leychile.cl/Navegar?idNorma=1149386&idParte=0"
"Laborales y/o Económicas";"Decreto 263 EXENTO";"ESTABLECE PARÁMETROS QUE INDICA  DE ACUERDO A LO SEÑALADO EN EL ARTÍCULO 5 BIS DE LA LEY Nº 21.230  QUE CONCEDE UN INGRESO FAMILIAR DE EMERGENCIA";"26-AGO-2020";"MINISTERIO DE HACIENDA";"1148707";"0";"https://www.leychile.cl/Navegar?idNorma=1148707&idParte=0"
"Laborales y/o Económicas";"Decreto 265 EXENTO";"AUMENTA EL MONTO DEL CUARTO APORTE DEL INGRESO FAMILIAR DE EMERGENCIA  DE ACUERDO A LO SEÑALADO EN EL ARTÍCULO 5 BIS DE LA LEY Nº 21.230  QUE LO CONCEDE";"26-AGO-2020";"MINISTERIO DE HACIENDA";"1148708";"0";"https://www.leychile.cl/Navegar?idNorma=1148708&idParte=0"
"Laborales y/o Económicas";"Decreto 1156";"MODIFICA DECRETO SUPREMO Nº 420  DE 30 DE MARZO DE 2020  DEL MINISTERIO DE HACIENDA  ESTABLECIENDO NUEVAS MEDIDAS DE ÍNDOLE TRIBUTARIA QUE INDICA";"07-AGO-2020";"MINISTERIO DE HACIENDA";"1148138";"0";"https://www.leychile.cl/Navegar?idNorma=1148138&idParte=0"
"Laborales y/o Económicas";"Decreto 1043";"MODIFICA DECRETO SUPREMO Nº 420  DE 30 DE MARZO DE 2020  DEL MINISTERIO DE HACIENDA  ESTABLECIENDO NUEVAS MEDIDAS DE ÍNDOLE TRIBUTARIA QUE INDICA";"03-JUL-2020";"MINISTERIO DE HACIENDA";"1147202";"0";"https://www.leychile.cl/Navegar?idNorma=1147202&idParte=0"
"Laborales y/o Económicas";"Decreto 18";"APRUEBA REGLAMENTO DEL ARTÍCULO 152 QUÁTER M DEL CÓDIGO DEL TRABAJO  QUE ESTABLECE CONDICIONES ESPECÍFICAS DE SEGURIDAD Y SALUD EN EL TRABAJO A QUE DEBERÁN SUJETARSE LOS TRABAJADORES QUE PRESTAN SERVICIOS EN LAS MODALIDADES DE TRABAJO A DISTANCIA O TELETRABAJO  DE ACUERDO CON LOS PRINCIPIOS Y CONDICIONES DE LA LEY Nº 16.744";"03-JUL-2020";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL,  SUBSECRETARÍA DEL TRABAJO";"1147206";"0";"https://www.leychile.cl/Navegar?idNorma=1147206&idParte=0"
"Laborales y/o Económicas";"Decreto 193 EXENTO";"MODIFICA DECRETO Nº 130 EXENTO  DE 24 DE ABRIL DE 2020  DEL MINISTERIO DE HACIENDA  QUE APRUEBA REGLAMENTO DE ADMINISTRACIÓN DEL FONDO DE GARANTÍA PARA PEQUEÑOS Y MEDIANOS EMPRESARIOS APLICABLE A LAS LÍNEAS DE GARANTÍA COVID-19";"30-JUN-2020";"MINISTERIO DE HACIENDA";"1147030";"0";"https://www.leychile.cl/Navegar?idNorma=1147030&idParte=0"
"Laborales y/o Económicas";"Decreto 842";"MODIFICA DECRETO SUPREMO Nº 420  DE 30 DE MARZO DE 2020  DEL MINISTERIO DE HACIENDA  ESTABLECIENDO NUEVA MEDIDA DE ÍNDOLE TRIBUTARIA QUE INDICA";"13-JUN-2020";"MINISTERIO DE HACIENDA";"1146541";"0";"https://www.leychile.cl/Navegar?idNorma=1146541&idParte=0"
"Laborales y/o Económicas";"Decreto 28";"MODIFICA DECRETOS SUPREMOS Nº 38  DE 1992 Y Nº 80  DE 2004  AMBOS DEL MINISTERIO DE TRANSPORTES Y TELECOMUNICACIONES  EN LOS TÉRMINOS QUE INDICA";"19-MAY-2020";"MINISTERIO DE TRANSPORTES Y TELECOMUNICACIONES,  SUBSECRETARÍA DE TRANSPORTES";"1145465";"0";"https://www.leychile.cl/Navegar?idNorma=1145465&idParte=0"
"Laborales y/o Económicas";"Decreto 18";"MODIFICA ORDENANZA PARA EL OTORGAMIENTO DE PATENTES PROVISORIAS EN LA COMUNA DE PEÑALOLÉN";"02-MAY-2020";"MUNICIPALIDAD DE PEÑALOLÉN";"1144797";"0";"https://www.leychile.cl/Navegar?idNorma=1144797&idParte=0"
"Laborales y/o Económicas";"Decreto 4";"COMPLEMENTA DECRETOS SUPREMOS NOS 3T Y 10T  DE 2019  DEL MINISTERIO DE ENERGÍA";"30-ABR-2020";"MINISTERIO DE ENERGÍA";"1144752";"0";"https://www.leychile.cl/Navegar?idNorma=1144752&idParte=0"
"Laborales y/o Económicas";"Decreto 507";"MODIFICA DECRETO SUPREMO Nº 103  DE 7 DE FEBRERO DE 2020  DEL MINISTERIO DE HACIENDA  EN EL SENTIDO QUE INDICA Y AUTORIZA EMISIÓN DE VALORES REPRESENTATIVOS DE DEUDA PÚBLICA DIRECTA  PARA SU COLOCACIÓN EN EL MERCADO DE CAPITALES QUE SEÑALA";"25-ABR-2020";"MINISTERIO DE HACIENDA";"1144623";"0";"https://www.leychile.cl/Navegar?idNorma=1144623&idParte=0"
"Laborales y/o Económicas";"Decreto 130 EXENTO";"APRUEBA REGLAMENTO DE ADMINISTRACIÓN DEL FONDO DE GARANTÍA PARA PEQUEÑOS Y MEDIANOS EMPRESARIOS APLICABLE A LAS LÍNEAS DE GARANTÍA COVID-19";"25-ABR-2020";"MINISTERIO DE HACIENDA";"1144624";"0";"https://www.leychile.cl/Navegar?idNorma=1144624&idParte=0"
"Laborales y/o Económicas";"Decreto 553";"MODIFICA DECRETO SUPREMO N° 420  DE 30 DE MARZO DE 2020  DEL MINISTERIO DE HACIENDA  ESTABLECIENDO NUEVA MEDIDA DE ÍNDOLE TRIBUTARIA QUE INDICA";"18-ABR-2020";"MINISTERIO DE HACIENDA";"1144442";"0";"https://www.leychile.cl/Navegar?idNorma=1144442&idParte=0"
"Laborales y/o Económicas";"Decreto 101 EXENTO";"DETERMINA LA FECHA SEGÚN LA CUAL DEBEN CUMPLIRSE LOS REQUISITOS EXIGIDOS EN EL ARTÍCULO 1 DEL ARTÍCULO PRIMERO DE LA LEY Nº 21.225  QUE AUTORIZA LA ENTREGA DE UN BONO DE APOYO A LOS INGRESOS FAMILIARES Y ESTABLECE LA FORMA DE ACREDITACIÓN DE LOS REQUISITOS EXIGIDOS A LOS BENEFICIARIOS SEÑALADOS EN EL INCISO TERCERO DEL CITADO ARTÍCULO 1";"13-ABR-2020";"MINISTERIO DE HACIENDA";"1144223";"0";"https://www.leychile.cl/Navegar?idNorma=1144223&idParte=0"
"Laborales y/o Económicas";"Decreto 420";"ESTABLECE MEDIDAS DE ÍNDOLE TRIBUTARIA  PARA APOYAR A LAS FAMILIAS  LOS TRABAJADORES Y A LAS MICRO  PEQUEÑAS Y MEDIANAS EMPRESAS  EN LAS DIFICULTADES GENERADAS POR LA PROPAGACIÓN DE LA ENFERMEDAD COVID-19 EN CHILE";"01-ABR-2020";"MINISTERIO DE HACIENDA";"1143963";"0";"https://www.leychile.cl/Navegar?idNorma=1143963&idParte=0"
"Laborales y/o Económicas";"Resolución 734 EXENTA";"AUTORIZA MODALIDAD DE TRABAJO A DISTANCIA POR LAS CAUSALES Y BAJO LAS CONDICIONES Y PLAZOS QUE INDICA  ADOPTA MEDIDAS PARA EL RETORNO GRADUAL DE FUNCIONARIOS Y FUNCIONARIAS Y DEMÁS PERSONAS QUE INDICA Y DEROGA RESOLUCIONES NºS. 40 Y 267 EXENTAS  DE 2023";"04-MAY-2023";"MINISTERIO DE LAS CULTURAS, LAS ARTES Y EL PATRIMONIO,  SUBSECRETARÍA DE LAS CULTURAS Y LAS ARTES";"1191828";"0";"https://www.leychile.cl/Navegar?idNorma=1191828&idParte=0"
"Laborales y/o Económicas";"Resolución 283 EXENTA";"MODIFICA RESOLUCIÓN N° 625 EXENTA  DE 2020  DE LA SUBSECRETARÍA DEL TRABAJO  QUE CALIFICA LA SITUACIÓN DE EMERGENCIA LABORAL QUE INDICA Y ACTIVA IMPLEMENTACIÓN DE LA LÍNEA EMERGENCIA LABORAL COVID-19 DEL PROGRAMA DE FORMACIÓN EN EL PUESTO DE TRABAJO  CONFORME A LO DISPUESTO EN EL DECRETO N° 28  DE 2011  DEL MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL  EN LOS TÉRMINOS Y CONDICIONES QUE INDICA";"27-ABR-2023";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL,  SUBSECRETARÍA DEL TRABAJO";"1191632";"0";"https://www.leychile.cl/Navegar?idNorma=1191632&idParte=0"
"Laborales y/o Económicas";"Resolución 37 EXENTA";"MODIFICA INSTRUCCIONES SOBRE RESTITUCIÓN DEL PRÉSTAMO TASA CERO";"25-MAR-2023";"MINISTERIO DE HACIENDA,  SERVICIO DE IMPUESTOS INTERNOS,  DIRECCIÓN NACIONAL";"1190626";"0";"https://www.leychile.cl/Navegar?idNorma=1190626&idParte=0"
"Laborales y/o Económicas";"Resolución 1281 EXENTA";"MODIFICA RESOLUCIÓN Nº625 EXENTA  DE 2020  DE LA SUBSECRETARÍA DEL TRABAJO  QUE CALIFICA LA SITUACIÓN DE EMERGENCIA LABORAL QUE INDICA Y ACTIVA IMPLEMENTACIÓN DE LA LÍNEA EMERGENCIA LABORAL COVID-19 DEL PROGRAMA DE FORMACIÓN EN EL PUESTO DE TRABAJO  CONFORME A LO DISPUESTO EN EL DECRETO Nº28  DE 2011  DEL MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL  EN LOS TÉRMINOS Y CONDICIONES QUE INDICA";"12-DIC-2022";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL,  SUBSECRETARÍA DEL TRABAJO";"1185874";"0";"https://www.leychile.cl/Navegar?idNorma=1185874&idParte=0"
"Laborales y/o Económicas";"Resolución 231 EXENTA";"SE DISPONE EL OTORGAMIENTO DEL BENEFICIO EXCEPCIONAL DEL BONO CRIANZA PROTEGIDA DEL ARTÍCULO CUARTO INCISO SÉPTIMO Y SIGUIENTES DE LA LEY N° 21.247  A LAS PERSONAS QUE SE INDIVIDUALIZA Y POR LOS MONTOS QUE EN CADA CASO SE INDICA";"09-AGO-2022";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL,  SUBSECRETARÍA DE PREVISIÓN SOCIAL,  INSTITUTO DE PREVISIÓN SOCIAL";"1179779";"0";"https://www.leychile.cl/Navegar?idNorma=1179779&idParte=0"
"Laborales y/o Económicas";"Resolución 599 EXENTA";"MODIFICA RESOLUCIÓN Nº 625 EXENTA  DE 2020  DE LA SUBSECRETARÍA DEL TRABAJO  QUE CALIFICA LA SITUACIÓN DE EMERGENCIA LABORAL QUE INDICA Y ACTIVA IMPLEMENTACIÓN DE LÍNEA EMERGENCIA LABORAL COVID-19 DEL PROGRAMA DE FORMACIÓN EN EL PUESTO DE TRABAJO  CONFORME A LO DISPUESTO EN EL DECRETO N° 28  DE 2011  DEL MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL";"19-JUL-2022";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL,  SUBSECRETARÍA DEL TRABAJO";"1178807";"0";"https://www.leychile.cl/Navegar?idNorma=1178807&idParte=0"
"Laborales y/o Económicas";"Resolución 114 EXENTA";"SE DISPONE EL OTORGAMIENTO DEL BENEFICIO EXCEPCIONAL DEL BONO CRIANZA PROTEGIDA DEL ARTÍCULO CUARTO INCISO SÉPTIMO Y SIGUIENTES DE LA LEY N° 21.247  A LAS PERSONAS QUE SE INDIVIDUALIZA Y POR LOS MONTOS QUE EN CADA CASO SE INDICA";"11-ABR-2022";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL,  SUBSECRETARÍA DE PREVISIÓN SOCIAL,  INSTITUTO DE PREVISIÓN SOCIAL";"1174591";"0";"https://www.leychile.cl/Navegar?idNorma=1174591&idParte=0"
"Laborales y/o Económicas";"Resolución 151 EXENTA";"MODIFICA RESOLUCIÓN Nº 625 EXENTA  DE 2020  DE LA SUBSECRETARÍA DEL TRABAJO  QUE CALIFICA LA SITUACIÓN DE EMERGENCIA LABORAL QUE INDICA Y ACTIVA IMPLEMENTACIÓN DE LÍNEA EMERGENCIA LABORAL COVID-19 DEL PROGRAMA DE FORMACIÓN EN EL PUESTO DE TRABAJO  CONFORME A LO DISPUESTO EN EL DECRETO Nº 28  DE 2011  DEL MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL EN EL SENTIDO QUE INDICA";"09-MAR-2022";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL,  SUBSECRETARÍA DEL TRABAJO";"1173451";"0";"https://www.leychile.cl/Navegar?idNorma=1173451&idParte=0"
"Laborales y/o Económicas";"Resolución 48 EXENTA";"SE DISPONE LA QUINTA EMISIÓN DE OTORGAMIENTO DEL BENEFICIO EXCEPCIONAL DEL BONO CRIANZA PROTEGIDA DEL ARTÍCULO CUARTO INCISO SÉPTIMO Y SIGUIENTES DE LA LEY Nº 21.247  A LAS PERSONAS QUE SE INDIVIDUALIZA Y POR LOS MONTOS QUE EN CADA CASO SE INDICA";"16-FEB-2022";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL,  SUBSECRETARÍA DE PREVISIÓN SOCIAL,  INSTITUTO DE PREVISIÓN SOCIAL";"1172636";"0";"https://www.leychile.cl/Navegar?idNorma=1172636&idParte=0"
"Laborales y/o Económicas";"Resolución 37 EXENTA";"MODIFICA RESOLUCIÓN Nº 625 EXENTA  DE 2020  DE LA SUBSECRETARÍA DEL TRABAJO  QUE CALIFICA LA SITUACIÓN DE EMERGENCIA LABORAL QUE INDICA Y ACTIVA IMPLEMENTACIÓN DE LÍNEA EMERGENCIA LABORAL COVID-19 DEL PROGRAMA DE FORMACIÓN EN EL PUESTO DE TRABAJO  CONFORME A LO DISPUESTO EN EL DECRETO Nº 28  DE 2011  DEL MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL EN EL SENTIDO QUE INDICA";"22-ENE-2022";"MINISTERIO DEL TRABAJO Y PREVISIÓN SOCIAL,  SUBSECRETARÍA DEL TRABAJO";"1171673";"0";"https://www.leychile.cl/Navegar?idNorma=1171673&idParte=0"
